FT_PCT_home,FG3_PCT_home,REB_home,HOME_TEAM_WINS
0.76,0.33,53.00,Loss
0.93,0.43,46.00,Win
0.81,0.32,52.00,Loss
0.93,0.40,55.00,Win
0.75,0.41,39.00,Loss
0.71,0.39,44.00,Win
0.91,0.37,43.00,Win
0.88,0.40,49.00,Win
0.90,0.29,47.00,Win
0.80,0.19,47.00,Win
0.89,0.31,42.00,Win
0.63,0.20,39.00,Loss
0.59,0.35,53.00,Win
0.76,0.39,40.00,Loss
0.70,0.21,54.00,Win
0.77,0.31,40.00,Loss
0.71,0.45,37.00,Win
0.87,0.39,50.00,Loss
0.78,0.23,49.00,Loss
0.75,0.24,46.00,Loss
0.77,0.36,32.00,Loss
0.77,0.30,38.00,Loss
0.78,0.34,50.00,Win
0.95,0.43,50.00,Win
0.77,0.42,48.00,Win
0.72,0.23,41.00,Loss
0.68,0.14,37.00,Loss
0.95,0.28,36.00,Loss
0.82,0.37,50.00,Win
0.67,0.35,38.00,Loss
0.79,0.50,41.00,Win
0.82,0.32,41.00,Loss
0.67,0.50,38.00,Loss
0.88,0.18,53.00,Loss
0.83,0.36,52.00,Win
0.71,0.41,36.00,Loss
0.85,0.38,51.00,Win
0.65,0.36,47.00,Win
0.79,0.40,38.00,Win
0.79,0.45,50.00,Win
0.80,0.30,67.00,Win
0.80,0.37,43.00,Win
0.53,0.35,47.00,Win
0.71,0.31,41.00,Win
0.72,0.34,40.00,Loss
0.76,0.47,37.00,Win
0.79,0.47,48.00,Win
0.81,0.41,36.00,Win
0.67,0.38,45.00,Win
0.90,0.20,47.00,Loss
0.65,0.31,58.00,Win
0.79,0.30,47.00,Win
0.73,0.32,43.00,Loss
0.74,0.39,39.00,Win
0.79,0.38,50.00,Win
0.84,0.46,38.00,Win
0.67,0.41,55.00,Win
0.83,0.41,42.00,Win
0.86,0.44,47.00,Win
0.67,0.50,52.00,Win
0.91,0.42,30.00,Win
0.89,0.48,41.00,Loss
0.65,0.32,54.00,Loss
0.73,0.39,40.00,Loss
0.77,0.31,52.00,Win
0.86,0.26,39.00,Loss
0.81,0.39,41.00,Win
0.82,0.50,33.00,Win
0.86,0.45,33.00,Win
0.80,0.43,51.00,Win
0.77,0.39,30.00,Loss
0.75,0.27,41.00,Loss
0.75,0.46,32.00,Win
0.50,0.38,40.00,Loss
0.87,0.63,46.00,Win
0.67,0.32,37.00,Loss
0.80,0.31,52.00,Loss
0.85,0.47,43.00,Win
0.67,0.41,34.00,Loss
0.89,0.39,52.00,Win
0.83,0.38,50.00,Win
0.88,0.26,47.00,Loss
0.84,0.39,46.00,Win
0.81,0.50,42.00,Win
0.95,0.31,47.00,Win
0.87,0.30,48.00,Win
0.65,0.33,45.00,Loss
0.83,0.40,42.00,Win
0.80,0.41,37.00,Loss
0.85,0.41,38.00,Loss
0.77,0.32,39.00,Win
0.79,0.34,45.00,Loss
0.77,0.39,39.00,Win
0.58,0.42,55.00,Win
0.87,0.40,62.00,Win
0.70,0.31,38.00,Loss
0.63,0.33,47.00,Loss
0.81,0.46,36.00,Loss
0.85,0.52,49.00,Win
0.68,0.42,46.00,Loss
